Rosso, Ramón,665759,2020,46,26,.243,.248,-0.005,.432,.501,-0.069,.365,.388,-0.023,6.52,6.87,-0.35
Matz, Steven,571927,2020,142,96,.323,.302,0.021,.700,.573,0.127,.439,.388,0.051,9.68,6.87,2.81
Toussaint, Touki,657053,2020,120,69,.276,.261,0.015,.551,.510,0.041,.407,.387,0.020,8.88,6.83,2.05
Wright, Kyle,657140,2020,168,114,.243,.283,-0.040,.431,.512,-0.081,.340,.386,-0.046,5.21,6.78,-1.57
Newcomb, Sean,656794,2020,70,51,.333,.295,0.038,.583,.528,0.055,.421,.386,0.035,11.20,6.78,4.42
Reed, Cody,642003,2020,55,34,.239,.294,-0.055,.435,.455,-0.020,.351,.384,-0.033,4.50,6.70,-2.20
Cease, Dylan,656302,2020,255,171,.234,.278,-0.044,.477,.511,-0.034,.353,.383,-0.030,4.01,6.66,-2.65
Workman, Brandon,519443,2020,101,65,.352,.289,0.063,.568,.527,0.041,.423,.383,0.040,5.95,6.66,-0.71
Godley, Zack,643327,2020,143,98,.336,.287,0.049,.624,.525,0.099,.434,.383,0.051,8.16,6.66,1.50
Kuhl, Chad,641771,2020,197,122,.212,.271,-0.059,.394,.509,-0.115,.321,.382,-0.061,4.27,6.61,-2.34
Roark, Tanner,543699,2020,220,154,.309,.279,0.030,.613,.542,0.071,.417,.380,0.037,6.80,6.53,0.27
Stripling, Ross,548389,2020,220,161,.281,.292,-0.011,.538,.538,0.000,.373,.379,-0.006,5.84,6.49,-0.65
Ray, Robbie,592662,2020,251,137,.261,.254,0.007,.522,.488,0.034,.390,.379,0.011,6.62,6.49,0.13
Holland, Derek,502706,2020,179,116,.261,.274,-0.013,.540,.553,-0.013,.369,.379,-0.010,6.86,6.49,0.37
DeSclafani, Anthony,543101,2020,158,114,.301,.287,0.014,.529,.512,0.017,.384,.379,0.005,7.22,6.49,0.73
Anderson, Chase,502624,2020,154,105,.315,.289,0.026,.622,.556,0.066,.412,.378,0.034,7.22,6.45,0.77
Funkhouser, Kyle,608335,2020,81,58,.319,.312,0.007,.522,.468,0.054,.397,.378,0.019,7.27,6.45,0.82
Samardzija, Jeff,502188,2020,77,65,.296,.280,0.016,.634,.559,0.075,.409,.377,0.032,9.72,6.41,3.31
Cobb, Alex,502171,2020,226,168,.252,.306,-0.054,.417,.502,-0.085,.320,.376,-0.056,4.30,6.37,-2.07
Young, Alex,622065,2020,204,150,.277,.290,-0.013,.549,.551,-0.002,.361,.376,-0.015,5.44,6.37,-0.93
Gibaut, Ian,664139,2020,59,35,.229,.264,-0.035,.417,.461,-0.044,.345,.376,-0.031,6.57,6.37,0.20
Stephenson, Robert,596112,2020,43,26,.282,.241,0.041,.897,.594,0.303,.495,.376,0.119,9.90,6.37,3.53
Burrows, Beau,663366,2020,30,25,.286,.292,-0.006,.643,.541,0.102,.404,.374,0.030,5.40,6.28,-0.88
Vincent, Nick,543883,2020,92,68,.271,.288,-0.017,.518,.538,-0.020,.357,.373,-0.016,4.43,6.24,-1.81
Triggs, Andrew,592811,2020,39,26,.242,.271,-0.029,.515,.474,0.041,.373,.373,-0.000,7.56,6.24,1.32
Jiménez, Joe,641729,2020,101,68,.284,.272,0.012,.580,.512,0.068,.390,.372,0.018,7.15,6.20,0.95
Milner, Hoby,571948,2020,59,39,.250,.253,-0.003,.558,.543,0.015,.377,.372,0.005,8.10,6.20,1.90
Keller, Mitch,656605,2020,87,52,.132,.204,-0.072,.338,.469,-0.131,.303,.371,-0.068,2.91,6.17,-3.26
Eshelman, Thomas,664045,2020,143,117,.260,.297,-0.037,.504,.535,-0.031,.340,.371,-0.031,3.89,6.17,-2.28
Kennedy, Ian,453178,2020,69,48,.323,.270,0.053,.694,.553,0.141,.441,.371,0.070,9.00,6.17,2.83
Garcia, Rico,670329,2020,44,33,.333,.310,0.023,.487,.496,-0.009,.373,.370,0.003,5.40,6.13,-0.73
Estévez, Carlos,608032,2020,116,77,.317,.288,0.029,.615,.496,0.119,.420,.370,0.050,7.50,6.13,1.37
Dunn, Justin,643290,2020,198,127,.189,.243,-0.054,.409,.478,-0.069,.319,.369,-0.050,4.34,6.09,-1.75
Nelson, Nick,656793,2020,90,61,.256,.285,-0.029,.436,.478,-0.042,.338,.369,-0.031,4.79,6.09,-1.30
Hess, David,605276,2020,32,29,.333,.287,0.046,.600,.535,0.065,.408,.369,0.039,6.43,6.09,0.34
López, Reynaldo,625643,2020,121,81,.269,.253,0.016,.577,.515,0.062,.396,.369,0.027,6.49,6.09,0.40
Font, Wilmer,521655,2020,85,60,.378,.287,0.091,.527,.470,0.057,.420,.369,0.051,9.92,6.09,3.83
Hale, David,571735,2020,75,57,.324,.308,0.016,.507,.512,-0.005,.370,.368,0.002,3.71,6.05,-2.34
Mazza, Chris,607391,2020,136,90,.288,.294,-0.006,.415,.460,-0.045,.348,.368,-0.020,4.80,6.05,-1.25
Rodón, Carlos,607074,2020,35,25,.290,.279,0.011,.548,.488,0.060,.390,.368,0.022,8.22,6.05,2.17
Bashlor, Tyler,641341,2020,38,26,.281,.289,-0.008,.625,.424,0.201,.425,.368,0.057,8.64,6.05,2.59
Hoffman, Jeff,656546,2020,104,73,.352,.300,0.052,.571,.499,0.072,.412,.368,0.044,9.28,6.05,3.23
González, Chi Chi,592346,2020,91,62,.289,.295,-0.006,.500,.475,0.025,.381,.367,0.014,6.86,6.01,0.85
Kickham, Mike,592464,2020,70,46,.333,.259,0.074,.683,.548,0.135,.446,.367,0.079,7.71,6.01,1.70
Avilán, Luis,501593,2020,39,25,.265,.266,-0.001,.471,.487,-0.016,.359,.366,-0.007,4.32,5.97,-1.65
Oswalt, Corey,621261,2020,55,41,.269,.262,0.007,.577,.579,-0.002,.368,.366,0.002,4.85,5.97,-1.12
Altavilla, Dan,656186,2020,89,53,.234,.256,-0.022,.442,.492,-0.050,.338,.366,-0.028,5.75,5.97,-0.22
Goody, Nick,580792,2020,55,34,.304,.254,0.050,.652,.491,0.161,.430,.366,0.064,9.00,5.97,3.03
Guerra, Javy,642770,2020,67,49,.417,.315,0.102,.517,.442,0.075,.425,.366,0.059,10.13,5.97,4.16
Lester, Jon,452657,2020,265,203,.262,.279,-0.017,.459,.518,-0.059,.333,.363,-0.030,5.16,5.85,-0.69
Pivetta, Nick,601713,2020,71,47,.286,.262,0.024,.571,.511,0.060,.384,.362,0.022,6.89,5.82,1.07
Stanek, Ryne,592773,2020,48,29,.275,.234,0.041,.525,.489,0.036,.388,.362,0.026,7.20,5.82,1.38
Martínez, Carlos,593372,2020,104,76,.352,.295,0.057,.637,.506,0.131,.424,.362,0.062,9.90,5.82,4.08
Gray, Jon,592351,2020,174,139,.281,.297,-0.016,.481,.496,-0.015,.347,.361,-0.014,6.69,5.78,0.91
Bacus, Dakota,621290,2020,57,41,.298,.296,0.002,.404,.405,-0.001,.359,.361,-0.002,7.94,5.78,2.16
Paredes, Enoli,660600,2020,90,58,.237,.286,-0.049,.329,.410,-0.081,.301,.360,-0.059,3.05,5.74,-2.69
Cishek, Steve,518553,2020,93,59,.269,.254,0.015,.487,.446,0.041,.365,.360,0.005,5.40,5.74,-0.34
McFarland, T.J.,519008,2020,92,77,.302,.290,0.012,.547,.497,0.050,.378,.359,0.019,4.35,5.70,-1.35
Gibson, Kyle,502043,2020,301,207,.275,.284,-0.009,.460,.452,0.008,.356,.359,-0.003,5.35,5.70,-0.35
Morejon, Adrian,670970,2020,79,50,.267,.274,-0.007,.573,.538,0.035,.365,.358,0.007,4.66,5.67,-1.01
Wilson, Bryse,669060,2020,73,48,.286,.255,0.031,.444,.466,-0.022,.363,.357,0.006,4.02,5.63,-1.61
Woodford, Jake,663765,2020,85,64,.253,.271,-0.018,.532,.530,0.002,.343,.357,-0.014,5.57,5.63,-0.06
Miley, Wade,489119,2020,67,44,.268,.284,-0.016,.411,.385,0.026,.356,.357,-0.001,5.65,5.63,0.02
López, Jorge,605347,2020,174,131,.297,.274,0.023,.465,.489,-0.024,.348,.356,-0.008,6.69,5.59,1.10
Rondón, Héctor,444468,2020,97,62,.298,.262,0.036,.631,.486,0.145,.412,.356,0.056,7.65,5.59,2.06
Adams, Chance,664856,2020,40,34,.375,.293,0.082,.575,.554,0.021,.403,.356,0.047,9.35,5.59,3.76
Ponce, Cody,664074,2020,66,48,.200,.243,-0.043,.533,.531,0.002,.333,.355,-0.022,3.18,5.56,-2.38
Ynoa, Huascar,660623,2020,100,68,.277,.274,0.003,.422,.422,0.000,.348,.355,-0.007,5.82,5.56,0.26
Smith, Caleb,592761,2020,60,33,.125,.190,-0.065,.313,.461,-0.148,.283,.354,-0.071,2.57,5.52,-2.95
Zuber, Tyler,676604,2020,99,48,.197,.217,-0.020,.368,.415,-0.047,.330,.354,-0.024,4.09,5.52,-1.43
Voth, Austin,608723,2020,225,159,.281,.264,0.017,.571,.503,0.068,.385,.354,0.031,6.34,5.52,0.82
Wojciechowski, Asher,592879,2020,168,120,.308,.265,0.043,.596,.493,0.103,.394,.354,0.040,6.81,5.52,1.29
Betances, Dellin,476454,2020,59,34,.267,.253,0.014,.289,.310,-0.021,.352,.354,-0.002,7.71,5.52,2.19
Guilbeau, Taylor,607555,2020,36,27,.267,.277,-0.010,.367,.384,-0.017,.342,.353,-0.011,1.17,5.48,-4.31
Turnbull, Spencer,605513,2020,242,160,.226,.275,-0.049,.337,.430,-0.093,.296,.353,-0.057,3.97,5.48,-1.51
Arrieta, Jake,453562,2020,190,141,.298,.286,0.012,.456,.448,0.008,.351,.353,-0.002,5.08,5.48,-0.40
Ureña, José,570632,2020,104,74,.247,.246,0.001,.427,.456,-0.029,.344,.353,-0.009,5.40,5.48,-0.08
Sánchez, Aníbal,434671,2020,245,181,.313,.284,0.029,.536,.481,0.055,.383,.353,0.030,6.62,5.48,1.14
Harvey, Hunter,640451,2020,37,28,.242,.281,-0.039,.424,.490,-0.066,.308,.352,-0.044,4.15,5.45,-1.30
Kay, Anthony,641743,2020,98,62,.268,.261,0.007,.500,.455,0.045,.364,.352,0.012,5.14,5.45,-0.31
Neverauskas, Dovydas,596720,2020,89,56,.304,.262,0.042,.557,.469,0.088,.398,.352,0.046,7.11,5.45,1.66
Fedde, Erick,607200,2020,222,169,.241,.274,-0.033,.441,.460,-0.019,.328,.351,-0.023,4.29,5.41,-1.12
González, Gio,461829,2020,153,97,.305,.273,0.032,.473,.424,0.049,.379,.351,0.028,4.83,5.41,-0.58
Junis, Jakob,596001,2020,114,87,.333,.285,0.048,.581,.503,0.078,.401,.351,0.050,6.39,5.41,0.98
