Maton, Phil,664208,54,13.2,33.3,106.6,82.7,89.5,79.8,359,158,359,15,8.1,27.8,1,1.9,1.0
Sims, Lucas,608371,55,18.8,20.0,107.4,87.3,93.6,81,381,150,376,19,10.4,34.5,1,1.8,1.0
Treinen, Blake,595014,75,-0.4,22.7,107.5,84.8,90.1,83.3,395,107,395,24,11.9,32.0,1,1.3,0.9
Crichton, Stefan,592233,73,13.5,32.9,109.6,89,90,89.6,398,153,398,29,16.1,39.7,1,1.4,0.9
Karinchak, James,675916,40,23.1,40.0,109.9,87.7,91.8,85.2,415,203,415,14,7.4,35.0,1,2.5,0.9
Rogers, Tyler,643511,86,1.8,27.9,107.8,85.8,91.3,82.5,397,127,384,31,15.0,36.0,1,1.2,0.8
Anderson, Ian,666120,81,8.9,18.5,114.5,86.7,90.7,85.1,362,129,362,26,10.6,32.1,1,1.2,0.7
Guilbeau, Taylor,607555,27,15,33.3,106.7,89.1,93.7,84.5,375,160,,9,17.3,33.3,,0.0,0.0
Marshall, Evan,605359,56,6.7,32.1,107.3,88.3,88.9,89.1,378,137,378,19,9.8,33.9,,0.0,0.0
Kelly, Joe,523260,26,-3.6,30.8,101.7,88.2,92.6,86.5,347,131,,9,13.0,34.6,,0.0,0.0
González, Victor,624647,52,-2.4,19.2,113.8,86.8,88.6,86.8,380,104,,22,15.4,42.3,,0.0,0.0
Miller, Andrew,453192,31,11,16.1,108.1,86.6,90.3,85.5,374,132,,6,7.0,19.4,,0.0,0.0
Hahn, Jesse,534910,37,15.7,24.3,109,86.5,87,90.1,384,158,,10,8.3,27.0,,0.0,0.0
Roe, Chaz,475054,26,21.5,46.2,105.2,86.1,85.6,94.2,362,201,,7,10.3,26.9,,0.0,0.0
Sherriff, Ryan,595411,30,4.8,10.0,108.4,85,91.2,84,358,129,,7,11.7,23.3,,0.0,0.0
Kolarek, Adam,592473,55,-0.2,18.2,105.7,84,89.1,83,391,112,391,11,9.3,20.0,,0.0,0.0
Betances, Dellin,476454,34,10.9,41.2,102.4,82.5,88.7,76.7,347,158,,6,7.1,17.6,,0.0,0.0
