Cobb, Alex,502171,50,6.4,42.0,118.1,94.9,104.1,87.6,438,185,411,30,28.0,60.0,13,26.0,21.7
Santana, Ervin,429722,53,19,34.0,110.2,89.2,95.5,84.7,423,213,408,21,18.3,39.6,11,20.8,17.2
Steckenrider, Drew,608716,38,23.4,31.6,112.8,89.1,95.7,80.2,444,239,392,14,13.6,36.8,8,21.1,13.8
Borucki, Ryan,621366,28,12,42.9,111.8,93.8,96,91.9,417,208,408,16,27.1,57.1,5,17.9,12.5
Straily, Dan,573185,179,21.6,41.3,114.7,91.4,94.6,89.2,447,227,404,88,20.3,49.2,29,16.2,12.3
Rogers, Josh,642028,54,22.2,37.0,108.5,92.6,94.9,90,422,245,384,27,22.9,50.0,8,14.8,11.6
Skoglund, Eric,607215,87,17,42.5,113.2,91.3,94.3,90.9,439,199,404,43,22.5,49.4,11,12.6,10.9
Kimbrel, Craig,518886,52,15.6,48.1,115.3,92.6,93.3,91.1,443,230,410,24,12.8,46.2,10,19.2,10.4
Jerez, Williams,605301,30,9,36.7,107.2,90.9,99.4,83.8,427,172,415,16,18.4,53.3,5,16.7,10.4
Garrett, Reed,657585,53,12.4,34.0,111.6,94.1,97.1,91.9,425,194,396,25,18.1,47.2,8,15.1,10.4
Gagnon, Drew,543193,91,16.6,31.9,109.7,87.8,95.7,83,421,190,397,30,14.4,33.0,12,13.2,10.3
Buchholz, Clay,453329,198,10.7,35.4,112.4,86.8,94,80.8,427,175,402,73,16.1,36.9,26,13.1,10.2
Carle, Shane,641438,31,5.8,35.5,113.6,90.3,95.6,86.1,415,186,400,12,13.8,38.7,5,16.1,10.2
Poyner, Bobby,596074,32,23.7,25.0,106.4,87.3,91.9,82.4,409,229,367,13,11.9,40.6,5,15.6,10.2
Reininger, Zac,643617,107,14.1,43.9,112,90.8,93.9,88.2,419,200,390,46,19.9,43.0,14,13.1,10.0
Kelley, Trevor,665001,29,26.3,44.8,109.4,91,95.4,76.6,420,247,410,13,18.8,44.8,4,13.8,10.0
Eades, Ryan,592280,33,11.4,39.4,114.2,93.3,102.2,88.5,424,190,414,19,19.4,57.6,5,15.2,10.0
Dull, Ryan,623430,48,18,50.0,112.7,90.9,95.2,83.9,434,227,397,23,19.2,47.9,7,14.6,9.9
Hess, David,605276,265,18.2,43.0,115.4,92.3,96,88.6,443,211,398,132,18.9,49.8,35,13.2,9.6
Suárez, Andrew,605498,108,9.4,37.0,113.9,89.8,96.4,86.7,458,169,417,39,15.1,36.1,14,13.0,9.5
Anderson, Tyler,542881,72,11.6,43.1,110.1,88.9,91.7,86.1,442,194,424,26,12.2,36.1,10,13.9,9.4
Thornburg, Tyler,592804,53,20.4,39.6,112.7,92.4,95.9,88.2,450,225,420,30,17.4,56.6,8,15.1,9.3
Miller, Justin,502522,48,25.8,29.2,114.3,89,93.5,83.2,429,224,403,17,13.7,35.4,6,12.5,9.2
Grace, Matt,594840,159,7.2,36.5,113.5,91.1,94.7,88.2,432,171,407,74,22.6,46.5,19,11.9,9.2
Santiago, Héctor,502327,101,21.2,40.6,112.8,89.2,92.7,87.5,420,206,404,39,12.3,38.6,15,14.9,9.2
Tropeano, Nick,607374,48,21.4,39.6,111.7,90.1,94.1,82.9,415,228,399,19,15.6,39.6,6,12.5,9.1
Oh, Seunghwan,493200,66,12.6,34.8,110.9,89.4,90.7,88.3,442,193,403,24,12.6,36.4,8,12.1,9.1
Jackson, Edwin,429719,249,11.9,40.2,115.7,91.1,95.4,87.5,450,191,393,108,17.9,43.4,30,12.0,8.9
Almonte, Yency,622075,113,17.3,37.2,112.2,90.7,94.3,88.1,440,211,418,47,15.9,41.6,14,12.4,8.9
Del Pozo, Miguel,600887,26,20.6,34.6,109.8,88.9,91.8,84.3,416,259,395,7,8.5,26.9,4,15.4,8.9
