Voit, Luke,572228,2021,241,139,.239,.252,-0.013,.437,.497,-0.060,.332,.360,-0.028
Turner, Justin,457759,2021,612,441,.278,.270,0.008,.471,.469,0.002,.358,.359,-0.001
Bogaerts, Xander,593428,2021,603,423,.295,.279,0.016,.493,.467,0.026,.368,.358,0.010
Stanton, Giancarlo,519317,2021,579,356,.273,.259,0.014,.516,.494,0.022,.370,.358,0.012
Cruz, Nelson,443558,2021,584,396,.265,.265,0.000,.497,.514,-0.017,.344,.358,-0.014
Springer, George,543807,2021,342,221,.264,.247,0.017,.555,.507,0.048,.380,.358,0.022
Candelario, Jeimer,600869,2021,626,422,.271,.278,-0.007,.443,.465,-0.022,.344,.357,-0.013
Blackmon, Charlie,453568,2021,582,426,.270,.292,-0.022,.411,.457,-0.046,.333,.357,-0.024
Senzel, Nick,669222,2021,124,96,.252,.310,-0.058,.315,.438,-0.123,.286,.357,-0.071
Crawford, Brandon,543063,2021,549,383,.298,.259,0.039,.522,.492,0.030,.377,.356,0.021
Betts, Mookie,605141,2021,550,385,.264,.262,0.002,.487,.443,0.044,.365,.356,0.009
India, Jonathan,663697,2021,631,396,.269,.259,0.010,.459,.442,0.017,.363,.355,0.008
Bichette, Bo,666182,2021,690,507,.298,.291,0.007,.484,.489,-0.005,.354,.354,-0.000
Pinder, Chad,640461,2021,233,153,.243,.261,-0.018,.411,.507,-0.096,.307,.354,-0.047
Pham, Tommy,502054,2021,561,351,.229,.258,-0.029,.383,.442,-0.059,.318,.354,-0.036
Soler, Jorge,624585,2021,602,379,.223,.249,-0.026,.432,.493,-0.061,.319,.354,-0.035
Zunino, Mike,572287,2021,375,202,.216,.220,-0.004,.559,.535,0.024,.358,.354,0.004
Gallo, Joey,608336,2021,616,286,.199,.202,-0.003,.458,.464,-0.006,.348,.354,-0.006
Renfroe, Hunter,592669,2021,572,397,.259,.259,0.000,.501,.504,-0.003,.344,.353,-0.009
Haniger, Mitch,571745,2021,691,459,.253,.262,-0.009,.485,.498,-0.013,.340,.353,-0.013
Longoria, Evan,446334,2021,291,187,.261,.253,0.008,.482,.487,-0.005,.352,.352,-0.000
Moncada, Yoán,660162,2021,616,365,.263,.259,0.004,.412,.422,-0.010,.347,.351,-0.004
Reyes, Franmil,614177,2021,466,272,.254,.244,0.010,.522,.509,0.013,.354,.350,0.004
Lewis, Kyle,641786,2021,147,93,.246,.252,-0.006,.392,.471,-0.079,.320,.350,-0.030
Conforto, Michael,624424,2021,479,304,.232,.253,-0.021,.384,.435,-0.051,.322,.350,-0.028
Nimmo, Brandon,607043,2021,386,248,.292,.271,0.021,.437,.389,0.048,.369,.349,0.020
Abreu, José,547989,2021,659,433,.261,.251,0.010,.481,.455,0.026,.354,.348,0.006
Marte, Starling,516782,2021,526,371,.310,.277,0.033,.458,.438,0.020,.364,.347,0.017
Polanco, Jorge,593871,2021,644,476,.269,.267,0.002,.503,.487,0.016,.349,.347,0.002
Wade Jr., LaMonte,664774,2021,381,254,.253,.256,-0.003,.482,.475,0.007,.343,.347,-0.004
Hernández, Enrique,571771,2021,585,405,.250,.253,-0.003,.449,.455,-0.006,.338,.347,-0.009
Kepler, Max,596146,2021,490,334,.211,.255,-0.044,.413,.452,-0.039,.309,.347,-0.038
Bryant, Kris,592178,2021,586,380,.265,.260,0.005,.481,.449,0.032,.356,.346,0.010
Rizzo, Anthony,519203,2021,576,414,.248,.260,-0.012,.440,.433,0.007,.339,.346,-0.007
Contreras, Willson,575929,2021,483,279,.237,.239,-0.002,.438,.447,-0.009,.337,.346,-0.009
France, Ty,664034,2021,650,471,.291,.269,0.022,.445,.435,0.010,.353,.345,0.008
Garlick, Kyle,664247,2021,107,68,.232,.250,-0.018,.465,.515,-0.050,.314,.345,-0.031
Miller, Brad,543543,2021,377,219,.227,.247,-0.020,.453,.460,-0.007,.331,.345,-0.014
Ozuna, Marcell,542303,2021,208,142,.213,.266,-0.053,.356,.457,-0.101,.284,.345,-0.061
Mullins, Cedric,656775,2021,675,482,.291,.272,0.019,.518,.447,0.071,.371,.344,0.027
Urías, Ramón,602104,2021,296,186,.279,.269,0.010,.412,.425,-0.013,.341,.344,-0.003
Cronenworth, Jake,630105,2021,643,483,.266,.280,-0.014,.460,.446,0.014,.338,.344,-0.006
Ward, Taylor,621493,2021,237,156,.250,.259,-0.009,.438,.453,-0.015,.333,.344,-0.011
Dalbec, Bobby,666915,2021,453,262,.240,.236,0.004,.494,.522,-0.028,.334,.344,-0.010
Lindor, Francisco,596019,2021,524,365,.230,.253,-0.023,.412,.452,-0.040,.317,.344,-0.027
McCutchen, Andrew,457705,2021,574,357,.222,.239,-0.017,.444,.430,0.014,.335,.344,-0.009
Engel, Adam,641553,2021,140,93,.252,.263,-0.011,.496,.433,0.063,.354,.343,0.011
Kelly, Carson,608348,2021,359,235,.240,.251,-0.011,.411,.425,-0.014,.328,.343,-0.015
Verdugo, Alex,657077,2021,604,453,.289,.285,0.004,.426,.446,-0.020,.334,.342,-0.008
Lowrie, Jed,476704,2021,512,353,.245,.257,-0.012,.398,.463,-0.065,.311,.342,-0.031
Carpenter, Matt,572761,2021,249,131,.169,.225,-0.056,.275,.427,-0.152,.269,.342,-0.073
Gomes, Yan,543228,2021,375,272,.252,.280,-0.028,.421,.469,-0.048,.308,.341,-0.033
