Trout, Mike,545361,2019,600,354,.291,.302,-0.011,.645,.661,-0.016,.436,.451,-0.015
Yelich, Christian,592885,2019,580,374,.329,.310,0.019,.671,.623,0.048,.442,.424,0.018
Bellinger, Cody,641355,2019,661,455,.305,.314,-0.009,.629,.626,0.003,.414,.424,-0.010
Kendrick, Howie,435062,2019,370,290,.344,.331,0.013,.572,.613,-0.041,.400,.418,-0.018
Rendon, Anthony,543685,2019,646,468,.319,.308,0.011,.598,.588,0.010,.413,.412,0.001
Cruz, Nelson,443558,2019,521,326,.311,.288,0.023,.639,.635,0.004,.417,.412,0.005
Betts, Mookie,605141,2019,706,505,.295,.306,-0.011,.524,.570,-0.046,.380,.408,-0.028
Soto, Juan,665742,2019,659,416,.282,.282,0.000,.548,.572,-0.024,.394,.407,-0.013
Ríos, Edwin,621458,2019,56,26,.277,.253,0.024,.617,.607,0.010,.413,.406,0.007
Alvarez, Yordan,670541,2019,369,221,.313,.282,0.031,.655,.588,0.067,.432,.405,0.027
Stanton, Giancarlo,519317,2019,72,36,.288,.265,0.023,.492,.518,-0.026,.379,.394,-0.015
Gallo, Joey,608336,2019,297,129,.253,.222,0.031,.598,.598,0.000,.401,.393,0.008
Freeman, Freddie,518692,2019,692,472,.295,.289,0.006,.549,.562,-0.013,.387,.392,-0.005
Judge, Aaron,592450,2019,447,238,.272,.269,0.003,.540,.564,-0.024,.381,.392,-0.011
Springer, George,543807,2019,556,370,.292,.275,0.017,.591,.564,0.027,.400,.390,0.010
Acuña Jr., Ronald,660670,2019,715,439,.280,.281,-0.001,.518,.576,-0.058,.367,.390,-0.023
Martinez, J.D.,502110,2019,657,442,.304,.295,0.009,.557,.557,0.000,.386,.389,-0.003
Soler, Jorge,624585,2019,679,415,.265,.272,-0.007,.569,.587,-0.018,.377,.389,-0.012
Rizzo, Anthony,519203,2019,613,429,.293,.292,0.001,.520,.482,0.038,.390,.383,0.007
Harper, Bryce,547180,2019,682,399,.260,.270,-0.010,.510,.542,-0.032,.365,.383,-0.018
Donaldson, Josh,518626,2019,659,396,.259,.260,-0.001,.521,.528,-0.007,.377,.383,-0.006
Freese, David,501896,2019,186,118,.315,.282,0.033,.599,.524,0.075,.415,.382,0.033
Olson, Matt,621566,2019,547,346,.267,.273,-0.006,.545,.568,-0.023,.368,.382,-0.014
Davis, J.D.,605204,2019,453,315,.307,.307,0.000,.527,.538,-0.011,.373,.381,-0.008
Thomas, Lane,657041,2019,44,30,.316,.280,0.036,.684,.510,0.174,.445,.380,0.065
Bell, Josh,605137,2019,613,416,.277,.278,-0.001,.569,.549,0.020,.378,.379,-0.001
Muncy, Max,571970,2019,589,342,.251,.260,-0.009,.515,.508,0.007,.372,.379,-0.007
Correa, Carlos,621043,2019,321,209,.279,.269,0.010,.568,.529,0.039,.380,.376,0.004
Marte, Ketel,606466,2019,628,485,.329,.298,0.031,.592,.524,0.068,.405,.373,0.032
Meadows, Austin,640457,2019,591,399,.291,.280,0.011,.558,.545,0.013,.380,.373,0.007
Garver, Mitch,641598,2019,359,226,.273,.249,0.024,.630,.552,0.078,.404,.373,0.031
Alonso, Pete,624413,2019,693,417,.260,.252,0.008,.583,.543,0.040,.384,.373,0.011
Schwarber, Kyle,656941,2019,610,379,.250,.260,-0.010,.531,.549,-0.018,.357,.372,-0.015
Turner, Justin,457759,2019,549,396,.290,.282,0.008,.509,.509,0.000,.370,.371,-0.001
Conforto, Michael,624424,2019,648,405,.257,.262,-0.005,.494,.506,-0.012,.358,.371,-0.013
Bregman, Alex,608324,2019,690,479,.296,.260,0.036,.592,.446,0.146,.418,.369,0.049
Ozuna, Marcell,542303,2019,549,372,.241,.276,-0.035,.472,.513,-0.041,.336,.368,-0.032
Sanó, Miguel,593934,2019,439,222,.247,.234,0.013,.576,.550,0.026,.378,.367,0.011
LeMahieu, DJ,518934,2019,655,517,.327,.304,0.023,.518,.506,0.012,.375,.366,0.009
Santana, Carlos,467793,2019,686,467,.281,.263,0.018,.515,.476,0.039,.380,.366,0.014
Sánchez, Gary,596142,2019,446,272,.232,.245,-0.013,.525,.557,-0.032,.346,.366,-0.020
Smoak, Justin,475253,2019,500,309,.208,.246,-0.038,.406,.487,-0.081,.323,.366,-0.043
Blackmon, Charlie,453568,2019,634,481,.314,.295,0.019,.576,.530,0.046,.387,.364,0.023
Choi, Ji-Man,596847,2019,487,309,.261,.258,0.003,.459,.490,-0.031,.348,.364,-0.016
Morales, Kendrys,434778,2019,201,145,.194,.271,-0.077,.253,.441,-0.188,.264,.364,-0.100
Walker, Christian,572233,2019,603,375,.259,.261,-0.002,.476,.515,-0.039,.346,.363,-0.017
Grandal, Yasmani,518735,2019,632,379,.246,.237,0.009,.468,.468,0.000,.361,.363,-0.002
Encarnación, Edwin,429665,2019,486,318,.244,.242,0.002,.531,.516,0.015,.362,.363,-0.001
Wade Jr., LaMonte,664774,2019,69,47,.196,.252,-0.056,.375,.426,-0.051,.320,.363,-0.043
Cron, C.J.,543068,2019,499,353,.253,.270,-0.017,.469,.543,-0.074,.325,.362,-0.037
Castro, Jason,488771,2019,275,151,.232,.245,-0.013,.435,.516,-0.081,.328,.362,-0.034
Joyce, Matt,459964,2019,238,155,.295,.270,0.025,.450,.438,0.012,.372,.361,0.011
Castellanos, Nick,592206,2019,664,475,.289,.275,0.014,.525,.535,-0.010,.357,.360,-0.003
Voit, Luke,572228,2019,510,288,.263,.244,0.019,.464,.487,-0.023,.360,.360,-0.000
Reyes, Franmil,614177,2019,548,345,.249,.260,-0.011,.512,.537,-0.025,.338,.360,-0.022
Devers, Rafael,646240,2019,702,531,.311,.290,0.021,.555,.516,0.039,.377,.359,0.018
Mancini, Trey,641820,2019,679,464,.291,.274,0.017,.535,.500,0.035,.373,.359,0.014
Avila, Alex,488671,2019,201,96,.207,.229,-0.022,.421,.498,-0.077,.323,.359,-0.036
Canha, Mark,592192,2019,497,305,.273,.241,0.032,.517,.458,0.059,.386,.358,0.028
Choo, Shin-Soo,425783,2019,660,399,.265,.260,0.005,.455,.469,-0.014,.353,.358,-0.005
Ford, Mike,645801,2019,163,115,.259,.275,-0.016,.559,.476,0.083,.372,.357,0.015
Pence, Hunter,452254,2019,316,219,.297,.276,0.021,.552,.507,0.045,.377,.355,0.022
Pham, Tommy,502054,2019,654,445,.273,.271,0.002,.450,.456,-0.006,.349,.355,-0.006
Lewis, Kyle,641786,2019,75,43,.268,.258,0.010,.592,.582,0.010,.357,.355,0.002
Cave, Jake,595909,2019,228,128,.258,.259,-0.001,.455,.482,-0.027,.343,.355,-0.012
McCutchen, Andrew,457705,2019,262,164,.256,.251,0.005,.457,.439,0.018,.358,.355,0.003
Moncada, Yoán,660162,2019,559,361,.315,.277,0.038,.548,.513,0.035,.379,.354,0.025
Abreu, José,547989,2019,693,492,.284,.276,0.008,.503,.512,-0.009,.344,.354,-0.010
Díaz, Yandy,650490,2019,347,250,.267,.276,-0.009,.476,.483,-0.007,.341,.354,-0.013
Goldschmidt, Paul,502671,2019,682,434,.260,.252,0.008,.476,.502,-0.026,.345,.354,-0.009
Reynolds, Bryan,668804,2019,546,373,.314,.287,0.027,.503,.466,0.037,.371,.353,0.018
Semien, Marcus,543760,2019,747,556,.285,.261,0.024,.522,.480,0.042,.373,.353,0.020
