Elmore, Jake,518653,39,13.1,43.6,101.1,86.6,86.3,87.2,355,191,,6,6.3,15.4,,0.0,0.0
Flaherty, Jack,656427,47,6.7,31.9,107,86.5,89.7,82.8,381,170,,9,9.1,19.1,,0.0,0.0
Fried, Max,608331,44,-3.5,22.7,103,86.5,92.1,82.9,385,113,,13,13.3,29.5,,0.0,0.0
Mendick, Danny,664901,28,12.8,39.3,102.2,86.4,88,84.7,387,164,367,6,8.2,21.4,,0.0,0.0
Lester, Jon,452657,28,4.9,28.6,102.4,86.3,90.3,84.1,376,150,376,6,7.6,21.4,,0.0,0.0
Hendricks, Kyle,543294,32,5.4,15.6,104.4,86,90.5,87.1,369,125,,6,6.6,18.8,,0.0,0.0
Valera, Breyvic,591971,40,17.2,37.5,100.6,85.9,88.5,85.6,389,186,389,12,12.9,30.0,,0.0,0.0
Kratz, Erik,456124,35,21.2,20.0,108.7,85.7,88.9,86.5,365,147,365,10,10.2,28.6,,0.0,0.0
Wolters, Tony,547172,299,10.1,37.5,103.4,85.3,88.2,83.1,361,168,361,59,8.6,19.7,,0.0,0.0
Stubbs, Garrett,596117,28,12.9,28.6,103.1,84.8,87.1,86.1,369,142,,8,10.5,28.6,,0.0,0.0
Gray, Sonny,543243,39,-12.3,5.1,101.5,84.8,89.7,84.3,302,51,,5,5.3,12.8,,0.0,0.0
Velasquez, Vince,592826,25,-0.7,24.0,105.7,84.7,89.5,83.4,364,128,364,6,9.2,24.0,,0.0,0.0
Hamels, Cole,430935,29,4,41.4,103.9,84.6,89.3,80.6,382,148,,6,7.1,20.7,,0.0,0.0
Butera, Drew,460077,31,23.9,25.8,104.2,84.6,87.3,81.5,359,176,,6,7.2,19.4,,0.0,0.0
Kelly, Merrill,518876,33,-8.8,9.1,96.9,84.5,88.7,82.5,370,112,,3,3.3,9.1,,0.0,0.0
Arteaga, Humberto,600858,97,9.3,29.9,103.7,84.5,86.8,82.3,385,153,,21,7.3,21.6,,0.0,0.0
Williams, Trevor,592866,25,-0.9,28.0,95.1,84.4,86.1,83.8,281,105,,1,1.8,4.0,,0.0,0.0
Strange-Gordon, Dee,543829,341,5.8,28.2,102.5,84.2,87,83,367,133,361,63,8.0,18.5,,0.0,0.0
Teheran, Julio,527054,36,10.8,19.4,102.2,84.2,85.4,85.1,371,150,,10,9.8,27.8,,0.0,0.0
Paddack, Chris,663978,27,-7.9,22.2,104.4,84,89,82.2,297,83,,5,7.4,18.5,,0.0,0.0
Difo, Wilmer,594694,103,10.1,34.0,102.2,83.9,87,83.1,380,150,375,20,6.8,19.4,,0.0,0.0
Andújar, Miguel,609280,37,13.6,16.2,105.5,83.6,92,79.8,383,150,,9,9.6,24.3,,0.0,0.0
Hudson, Dakota,641712,34,-10.9,17.6,105,83.5,85.8,82.7,316,99,,4,4.7,11.8,,0.0,0.0
Gore, Terrance,605253,33,6.5,24.2,99.3,83.5,83.7,86.6,367,155,,4,4.3,12.1,,0.0,0.0
Kershaw, Clayton,477132,48,5.7,6.3,104.4,83.4,88.3,81.1,331,120,,5,4.4,10.4,,0.0,0.0
Bishop, Braden,623323,36,13,19.4,105.5,83.1,88.3,83.7,344,126,,5,4.4,13.9,,0.0,0.0
Maeda, Kenta,628317,48,7.8,16.7,104.2,82.8,79.1,85.4,280,112,,4,3.6,8.3,,0.0,0.0
Davies, Zach,605200,29,15.5,27.6,97.9,82.6,86.8,77.6,310,158,,2,2.4,6.9,,0.0,0.0
Hanson, Alen,593700,27,8.1,22.2,99.5,82,88,79.6,334,132,,6,5.6,22.2,,0.0,0.0
Skole, Matt,605474,42,17.5,33.3,109.7,82,83.4,82.9,370,178,,6,4.2,14.3,,0.0,0.0
Corbin, Patrick,571578,42,-5.8,16.7,100.8,81.9,86.2,81.4,352,100,,5,4.6,11.9,,0.0,0.0
Eflin, Zach,621107,25,15.1,24.0,103.2,81.9,85.7,80.5,381,173,,4,4.0,16.0,,0.0,0.0
Mikolas, Miles,571945,35,5,20.0,108.3,81.6,83.3,83.4,363,114,,8,6.5,22.9,,0.0,0.0
Quintana, José,500779,36,-8.6,11.1,103.2,81.4,81.7,81.4,303,66,,4,4.1,11.1,,0.0,0.0
Hamilton, Billy,571740,234,15.2,32.5,99.9,80.7,83.6,81.1,375,161,,17,2.6,7.3,,0.0,0.0
Ray, Robbie,592662,32,-13.9,12.5,105.2,79.5,85.9,77.9,340,80,,2,2.0,6.3,,0.0,0.0
Castillo, Luis,622491,34,14.8,23.5,102.8,79.3,83.7,77.1,343,146,,2,1.9,5.9,,0.0,0.0
Soroka, Mike,647336,37,-8,13.5,99.2,79.1,81,78.5,283,71,,4,4.1,10.8,,0.0,0.0
Sánchez, Aníbal,434671,32,-1.5,25.0,94.3,78.6,78.3,78.7,304,89,,,0.0,0.0,,0.0,0.0
Wilson, Bobby,435064,34,21.6,29.4,99.4,78.2,85.1,75.3,362,136,,1,0.9,2.9,,0.0,0.0
Gray, Jon,592351,34,1.5,11.8,105.7,77.2,84.9,74.8,276,75,,3,3.6,8.8,,0.0,0.0
