Yajure, Miguel,664337,49,16,49.0,112.1,89.7,94.8,84.6,403,190,388,24,23.3,49.0,10,20.4,14.7
Sceroler, Mac,669135,29,17,34.5,110,92.3,96.3,88.6,424,207,383,15,16.5,51.7,7,24.1,14.6
Devenski, Chris,606965,27,15.1,51.9,112.6,89.7,91.4,87,465,214,460,10,15.4,37.0,5,18.5,14.3
Baumann, Mike,657508,38,12.8,42.1,109.3,95.5,97.9,93.3,460,214,439,23,26.7,60.5,7,18.4,14.0
Guerra, Javy,457915,26,15.4,46.2,109.4,94.8,99,90.6,454,206,437,13,17.6,50.0,5,19.2,13.5
Lindblom, Josh,458676,55,23.2,40.0,110.8,92,95.5,90.6,416,206,404,26,17.9,47.3,11,20.0,12.9
Madero, Luís,650347,43,29.9,30.2,109.6,88.7,94.5,88,405,205,399,17,20.0,39.5,7,16.3,12.5
Zeuch, T.J.,643615,57,4.8,36.8,114.1,91.4,99.6,84.3,441,166,414,29,21.2,50.9,9,15.8,12.2
Burrows, Beau,663366,40,27,47.5,109.8,93,95.5,88.6,454,255,405,17,13.7,42.5,7,17.5,12.1
Albers, Andrew,452027,67,18.2,38.8,115.2,89.3,94.4,88.8,439,175,394,32,20.4,47.8,10,14.9,11.2
Weber, Ryan,543901,32,2.4,34.4,114.3,92.7,99.1,87.1,440,153,409,16,22.5,50.0,5,15.6,11.1
Hatch, Thomas,641672,30,22.4,36.7,112.8,92,98.2,91.2,392,185,391,15,19.0,50.0,5,16.7,11.1
Fiers, Mike,571666,36,17.2,36.1,109.8,90.5,95.6,88.1,423,170,393,18,26.1,50.0,5,13.9,11.1
Hess, David,605276,72,21.2,40.3,116.5,94.7,96.3,91.1,439,236,405,36,19.9,50.0,11,15.3,10.8
Swarzak, Anthony,461872,45,16.2,51.1,108,91,93.4,86.2,427,213,405,19,19.4,42.2,6,13.3,10.7
Arihara, Kohei,685503,137,11.7,41.6,114.1,91.7,96.6,87.1,458,194,414,68,22.7,49.6,19,13.9,10.7
Yang, Hyeon-Jong,660365,118,13.6,36.4,113.2,89.7,95,84.9,430,180,400,50,17.0,42.4,17,14.4,10.6
Eickhoff, Jerad,595191,78,18.9,46.2,113.4,92.1,96.9,84.2,439,198,406,37,21.1,47.4,11,14.1,10.6
García, Deivi,665620,26,25.5,46.2,106.8,90.5,95.1,81.4,406,230,406,8,11.9,30.8,4,15.4,10.5
Garcia, Bryan,650530,133,15.3,34.6,111.9,92.4,95.9,87,423,194,406,66,19.8,49.6,20,15.0,10.4
Burdi, Zack,641420,35,21.4,37.1,112.5,90.9,94.1,92.7,417,189,399,16,19.0,45.7,5,14.3,10.2
Heasley, Jon,669169,48,15.7,22.9,110.9,92.2,97.9,89.6,435,167,413,27,24.1,56.3,6,12.5,10.2
Duplantier, Jon,641541,48,7.8,31.3,110,90.2,95.3,87.9,451,157,407,19,16.1,39.6,7,14.6,10.0
Lambert, Peter,663567,25,-0.9,32.0,106.1,86,94.5,77,442,158,417,10,18.2,40.0,3,12.0,10.0
Junk, Janson,676083,59,13.9,40.7,116.1,88.3,93.1,82.8,456,181,416,20,16.4,33.9,7,11.9,9.9
López, Yoan,661255,42,10.5,35.7,111.8,91.7,94.6,88.5,416,169,403,16,16.3,38.1,6,14.3,9.8
Waddell, Brandon,663399,35,17.1,37.1,110.3,95.5,96.3,96.2,404,190,399,19,21.3,54.3,5,14.3,9.8
Kremer, Dean,665152,172,21,39.5,119.4,93.1,96.6,91.7,426,193,390,78,17.5,45.3,24,14.0,9.8
Stephan, Trevor,663986,173,16.5,40.5,115.7,89.7,94.6,84.2,429,197,397,74,13.0,42.8,27,15.6,9.6
Holland, Greg,518813,163,12,38.0,116,88.8,95,82.5,435,178,405,67,14.4,41.1,23,14.1,9.5
Martin, Corbin,656686,58,16.5,39.7,111.9,93.8,96.5,89.9,444,212,401,30,19.4,51.7,8,13.8,9.3
De Jong, Chase,608328,137,17.1,38.0,117.9,91.1,96.2,82.9,451,216,409,64,17.6,46.7,18,13.1,9.2
Jax, Griffin,643377,261,20.1,33.0,113.3,90.9,95.8,84.4,454,211,398,114,17.0,43.7,33,12.6,9.2
Skubal, Tarik,669373,417,14.1,35.0,115.7,90.5,94.3,88,454,181,404,188,15.2,45.1,58,13.9,9.1
Pagán, Emilio,641941,174,26.5,42.0,110.6,90.4,94.3,84,406,221,389,79,13.8,45.4,24,13.8,9.1
Poteet, Cody,547001,84,18.8,33.3,113.6,91.5,97.4,85.7,442,195,415,36,14.0,42.9,12,14.3,9.1
Kazmir, Scott,431148,38,10.9,36.8,112.6,92.1,95.1,88.3,433,168,415,19,18.6,50.0,5,13.2,9.1
Armstrong, Shawn,542888,104,19.4,38.5,115.1,90.6,95.7,85.7,471,199,414,46,13.5,44.2,15,14.4,9.1
Merryweather, Julian,657240,38,8.5,28.9,109.7,90.3,96.1,85,423,184,405,18,17.1,47.4,5,13.2,9.1
Buchter, Ryan,488748,47,22.8,31.9,111.4,90.9,96.3,82.9,463,232,403,22,17.2,46.8,7,14.9,9.0
Zuber, Tyler,676604,80,19.9,42.5,110.4,90.3,94.5,86.5,427,188,407,35,15.6,43.8,11,13.8,8.9
Stock, Robert,476594,26,11.1,34.6,114.8,91.3,96.5,85.1,432,169,411,11,16.4,42.3,4,15.4,8.9
Campbell, Paul,669294,86,14.2,33.7,110,88.9,91.9,86.9,445,164,410,30,13.5,34.9,11,12.8,8.9
Lowther, Zac,675912,91,11.7,35.2,113.2,92.7,96.4,89.7,444,177,410,48,19.4,52.7,12,13.2,8.7
Newsome, Ljay,664714,49,16.5,46.9,110.5,92,94.9,88.9,433,207,403,23,15.1,46.9,6,12.2,8.7
Happ, J.A.,457918,498,16.4,38.4,114.1,90.2,94.1,85.5,456,194,400,208,16.3,41.8,58,11.6,8.6
Lange, Alex,656638,104,11.5,35.6,112.2,93.9,95.8,92.9,449,169,392,55,17.9,52.9,14,13.5,8.6
