Tyler Glasnow,TBR,11.73,1.64,7.17,0.27,35.8%,5.0%,30.8%,.142,0.67,.214,97.1%,0.55,1.55,-1.00,2.78,14374
Kirby Yates,SDP,14.57,2.13,6.83,0.36,38.7%,5.7%,33.0%,.198,0.99,.327,75.2%,1.42,1.56,-0.14,2.30,9073
Liam Hendriks,OAK,13.84,2.50,5.55,0.45,37.7%,6.8%,30.9%,.223,1.11,.356,85.3%,2.04,1.70,0.34,3.20,3548
Andres Munoz,SDP,12.19,4.35,2.80,0.00,31.8%,11.4%,20.5%,.184,1.16,.280,41.7%,6.10,1.96,4.14,3.50,20373
Austin Adams,- - -,13.50,4.86,2.78,0.00,36.8%,13.2%,23.5%,.158,1.08,.273,84.2%,1.62,2.01,-0.39,3.09,13801
Seranthony Dominguez,PHI,10.38,3.46,3.00,0.00,27.3%,9.1%,18.2%,.245,1.31,.343,70.6%,2.08,2.06,0.02,3.74,19249
Chad Green,NYY,13.25,1.72,7.71,0.74,35.5%,4.6%,30.9%,.241,1.12,.360,64.4%,4.17,2.07,2.10,3.01,15552
Max Scherzer,WSN,12.98,1.15,11.30,0.80,35.9%,3.2%,32.7%,.218,0.96,.324,78.7%,2.64,2.10,0.54,2.62,3137
Nick Anderson,- - -,14.59,3.10,4.70,0.62,40.2%,8.5%,31.6%,.183,1.00,.304,85.1%,2.17,2.11,0.06,2.65,18337
Felipe Vazquez,PIT,13.80,2.40,5.75,0.60,39.3%,6.8%,32.5%,.181,0.90,.293,95.6%,1.20,2.11,-0.91,2.64,12076
Randy Dobnak,MIN,7.31,1.13,6.50,0.00,19.7%,3.0%,16.7%,.222,1.00,.280,70.6%,0.56,2.15,-1.59,3.27,23798
Giovanny Gallegos,STL,11.79,1.93,6.11,0.64,37.2%,6.1%,31.1%,.145,0.69,.210,76.6%,2.14,2.17,-0.02,3.32,14986
Sean Manaea,OAK,8.47,2.12,4.00,0.00,26.7%,6.7%,20.0%,.145,0.71,.205,92.3%,0.53,2.21,-1.68,3.50,15873
Luke Weaver,ARI,10.35,1.77,5.86,0.50,28.9%,4.9%,23.9%,.218,1.01,.297,78.9%,2.27,2.32,-0.05,3.48,16918
Gerardo Reyes,SDP,13.50,2.93,4.60,0.59,34.3%,7.5%,26.9%,.246,1.24,.361,30.6%,8.80,2.43,6.37,3.92,16306
Juan Minaya,CHW,7.63,2.35,3.25,0.00,19.4%,6.0%,13.4%,.258,1.30,.327,85.7%,1.76,2.50,-0.74,4.96,10341
Taylor Rogers,MIN,11.83,1.54,7.67,0.77,32.6%,4.3%,28.4%,.225,1.00,.317,94.8%,1.54,2.56,-1.01,2.86,13449
Julio Urias,LAD,9.54,4.19,2.28,0.00,26.8%,11.8%,15.0%,.157,1.01,.226,72.5%,1.86,2.57,-0.71,4.01,14765
Aroldis Chapman,NYY,13.33,5.13,2.60,0.34,34.5%,13.3%,21.2%,.189,1.25,.298,76.7%,2.05,2.57,-0.52,3.36,10233
Carlos Rodon,CHW,10.03,2.70,3.71,0.39,28.3%,7.6%,20.7%,.133,0.77,.175,68.2%,1.93,2.57,-0.64,4.06,16137
Jacob deGrom,NYM,11.06,2.06,5.36,0.75,30.7%,5.7%,25.0%,.226,1.06,.308,84.1%,2.34,2.59,-0.25,3.14,10954
Ross Stripling,LAD,11.41,2.28,5.00,0.76,30.6%,6.1%,24.5%,.254,1.23,.353,69.3%,3.80,2.60,1.20,3.14,13273
Roberto Osuna,HOU,9.32,1.29,7.25,0.64,26.1%,3.6%,22.5%,.210,0.93,.267,74.4%,2.57,2.61,-0.04,3.81,13764
Jesus Luzardo,OAK,11.45,1.64,7.00,0.82,33.3%,4.8%,28.6%,.128,0.64,.167,90.9%,1.64,2.67,-1.03,3.30,19959
Chris Martin,- - -,10.73,1.30,8.25,0.98,32.0%,3.9%,28.2%,.216,0.90,.286,72.1%,3.25,2.67,0.58,2.99,11847
Josh James,HOU,12.13,4.85,2.50,0.30,34.5%,13.8%,20.7%,.121,0.94,.190,68.8%,2.73,2.67,0.06,4.45,16794
Jordan Hicks,STL,7.15,2.38,3.00,0.00,20.9%,7.0%,14.0%,.205,0.97,.267,66.7%,3.18,2.68,0.49,3.56,19618
Keone Kela,PIT,10.54,1.98,5.33,0.66,30.2%,5.7%,24.5%,.163,0.80,.219,84.9%,1.98,2.70,-0.73,3.64,14696
Mike Clevinger,CLE,11.30,2.20,5.13,0.83,32.0%,6.3%,25.8%,.215,1.03,.300,71.0%,3.58,2.72,0.86,3.08,12808
