BAL,4/15/2022,1,656775,Cedric,Mullins,1,N,
BAL,4/15/2022,1,663624,Ryan,Mountcastle,2,N,
BAL,4/15/2022,1,641820,Trey,Mancini,3,N,
BAL,4/15/2022,1,669720,Austin,Hays,4,N,
BAL,4/15/2022,1,623993,Anthony,Santander,5,N,
BAL,4/15/2022,1,602104,Ramon,Urias,6,N,
BAL,4/15/2022,1,622761,Jorge,Mateo,7,N,
BAL,4/15/2022,1,455139,Robinson,Chirinos,8,N,
BAL,4/15/2022,1,642721,Kelvin,Gutierrez,9,N,
BAL,4/15/2022,1,543475,Jordan,Lyles,SP,N,
OAK,4/15/2022,1,643393,Tony,Kemp,1,N,
OAK,4/15/2022,1,641856,Billy,McKinney,2,N,
OAK,4/15/2022,1,669221,Sean,Murphy,3,N,
OAK,4/15/2022,1,640461,Chad,Pinder,4,N,
OAK,4/15/2022,1,664913,Seth,Brown,5,N,
OAK,4/15/2022,1,462101,Elvis,Andrus,6,N,
OAK,4/15/2022,1,675656,Kevin,Smith,7,N,
OAK,4/15/2022,1,572039,Stephen,Piscotty,8,N,
OAK,4/15/2022,1,665506,Cristian,Pache,9,N,
OAK,4/15/2022,1,641726,Daulton,Jefferies,SP,N,
TOR,4/15/2022,1,543807,George,Springer,1,N,
TOR,4/15/2022,1,666182,Bo,Bichette,2,N,
TOR,4/15/2022,1,665489,Vladimir,Guerrero,3,N,
TOR,4/15/2022,1,656305,Matt,Chapman,4,N,
TOR,4/15/2022,1,666971,Lourdes,Gurriel,5,N,
TOR,4/15/2022,1,606132,Raimel,Tapia,6,N,
TOR,4/15/2022,1,672386,Alejandro,Kirk,7,N,
TOR,4/15/2022,1,624415,Cavan,Biggio,8,N,
TOR,4/15/2022,1,605548,Bradley,Zimmer,9,N,
TOR,4/15/2022,1,548389,Ross,Stripling,SP,N,
TB,4/15/2022,1,664040,Brandon,Lowe,1,N,
TB,4/15/2022,1,677551,Wander,Franco,2,N,
TB,4/15/2022,1,596847,Ji-Man,Choi,3,N,
TB,4/15/2022,1,668227,Randy,Arozarena,4,N,
TB,4/15/2022,1,666139,Josh,Lowe,5,N,
TB,4/15/2022,1,642336,Francisco,Mejia,6,N,
TB,4/15/2022,1,595281,Kevin,Kiermaier,7,N,
TB,4/15/2022,1,670764,Taylor,Walls,8,N,
TB,4/15/2022,1,621433,Brett,Phillips,9,N,
TB,4/15/2022,1,656876,Drew,Rasmussen,SP,N,
CHW,4/15/2022,1,641313,Tim,Anderson,1,N,
CHW,4/15/2022,1,673357,Luis,Robert,2,N,
CHW,4/15/2022,1,547989,Jose,Abreu,3,N,
CHW,4/15/2022,1,518735,Yasmani,Grandal,4,N,
