Taylor Rogers,MIN,13.95,2.25,6.20,0.00,40.3%,6.5%,33.8%,.222,1.05,.390,81.0%,1.35,0.82,0.53,1.70,13449
Joe Ryan,MIN,11.25,0.75,15.00,0.00,37.5%,2.5%,35.0%,.103,0.42,.167,60.0%,1.50,0.92,0.58,2.68,21390
Jacob deGrom,NYM,15.19,1.13,13.50,0.56,46.6%,3.4%,43.1%,.144,0.63,.250,81.4%,0.84,0.98,-0.14,1.33,10954
Jay Jackson,SFG,13.11,3.09,4.25,0.00,39.5%,9.3%,30.2%,.132,0.77,.227,55.6%,3.09,1.28,1.80,2.95,7432
Corbin Burnes,MIL,12.58,1.26,10.00,0.46,36.7%,3.7%,33.0%,.179,0.79,.273,80.8%,1.94,1.57,0.38,1.98,19361
Josh Hader,MIL,17.31,3.81,4.55,0.69,50.5%,11.1%,39.4%,.115,0.81,.229,99.0%,1.04,1.71,-0.67,1.79,14212
Raisel Iglesias,LAA,11.79,0.93,12.67,0.62,34.9%,2.8%,32.1%,.202,0.83,.288,75.5%,1.86,1.76,0.11,2.26,17130
Austin Warren,LAA,9.24,1.42,6.50,0.00,25.0%,3.8%,21.2%,.224,1.03,.306,85.7%,1.42,1.83,-0.41,3.92,24937
Tyler Wells,BAL,7.99,1.52,5.25,0.00,23.1%,4.4%,18.7%,.174,0.80,.227,84.2%,1.14,1.90,-0.76,4.44,20000
A.J. Minter,ATL,11.01,3.20,3.44,0.00,30.4%,8.8%,21.6%,.200,1.07,.295,78.6%,2.13,1.91,0.22,3.44,18655
Tejay Antone,CIN,10.88,2.42,4.50,0.00,34.2%,7.6%,26.6%,.114,0.63,.186,94.1%,0.40,1.96,-1.56,2.99,16233
Jesse Chavez,ATL,8.64,2.16,4.00,0.00,25.0%,6.3%,18.8%,.203,0.96,.273,75.0%,2.16,1.97,0.19,3.66,5448
Jonathan Loaisiga,NYY,8.15,1.63,5.00,0.00,23.3%,4.7%,18.7%,.173,0.80,.224,78.1%,1.40,1.98,-0.58,3.26,19753
Craig Kimbrel,- - -,14.70,3.30,4.45,0.60,40.5%,9.1%,31.4%,.178,1.00,.298,68.5%,2.40,2.07,0.33,2.85,6655
Drew Pomeranz,SDP,9.53,3.18,3.00,0.00,27.9%,9.3%,18.6%,.189,0.97,.259,72.7%,1.59,2.11,-0.52,3.05,11426
Anthony Castro,TOR,11.68,0.73,16.00,0.73,33.3%,2.1%,31.3%,.156,0.65,.207,65.8%,2.19,2.12,0.07,2.49,19789
Ryan Pressly,HOU,9.67,2.00,4.83,0.33,26.6%,5.5%,21.1%,.265,1.22,.356,82.3%,2.00,2.17,-0.17,3.13,7005
Nick Sandlin,CLE,13.00,3.00,4.33,0.50,37.1%,8.6%,28.6%,.175,0.94,.278,72.3%,3.00,2.17,0.83,2.92,20517
Jimmy Nelson,LAD,13.17,3.95,3.33,0.00,36.4%,10.9%,25.5%,.109,0.80,.192,64.3%,1.98,2.22,-0.24,4.16,10547
Collin McHugh,TBR,10.91,2.18,5.00,0.55,30.3%,6.1%,24.2%,.242,1.15,.341,85.2%,1.64,2.26,-0.62,2.92,7531
Kyle Muller,ATL,9.64,3.86,2.50,0.00,28.3%,11.3%,17.0%,.109,0.79,.156,90.9%,0.64,2.31,-1.67,4.58,20167
